Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,351,364,358,6.2,12
Resistance,373,386,379,6.34,20
Resistance,396,402,399,3.43,10
Resistance,407,417,412,4.98,11
Resistance,428,442,435,7.15,12
Resistance,452,472,462,10.28,10
Resistance,510,510,510,0.0,1
Resistance,545,545,545,0.0,2
Resistance,583,615,599,15.57,5
Resistance,645,645,645,0.0,1
Support,81,86,84,2.12,2
Support,120,132,126,6.03,13
Support,152,154,153,1.41,2
Support,202,211,206,4.77,5
Support,226,241,234,7.52,8
Support,256,271,263,7.38,14
Support,282,292,287,5.3,17
Support,301,309,305,4.22,11
Support,317,328,322,5.1,8
Support,338,343,341,2.5,10
