Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,785,807,796,10.94,21
Resistance,821,835,828,6.96,13
Resistance,857,876,866,9.37,21
Resistance,895,924,910,14.57,11
Resistance,985,1018,1001,16.52,4
Resistance,1135,1135,1135,0.0,1
Resistance,1405,1405,1405,0.0,2
Resistance,1500,1500,1500,0.0,1
Resistance,1605,1605,1605,0.0,1
Resistance,1780,1860,1820,39.53,5
Support,320,333,326,6.61,4
Support,369,384,377,7.65,17
Support,430,461,445,15.09,7
Support,484,504,494,9.91,6
Support,524,571,548,23.98,4
Support,616,644,630,14.07,14
Support,650,671,660,10.39,10
Support,691,711,701,10.21,6
Support,724,741,732,8.45,8
Support,749,761,755,6.4,12
