Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,240,263,252,11.77,33
Resistance,289,315,302,13.01,23
Resistance,334,363,348,14.53,22
Resistance,390,417,404,13.54,8
Resistance,431,449,440,8.98,7
Resistance,466,494,480,14.14,2
Resistance,535,554,544,9.32,7
Resistance,592,625,609,16.52,4
Resistance,685,725,705,20.25,6
Support,144,148,146,2.22,4
Support,156,159,157,1.55,8
Support,162,166,164,2.38,7
Support,170,173,171,1.53,3
Support,191,196,194,2.48,7
Support,203,205,204,1.0,4
Support,209,211,210,1.41,5
Support,215,218,216,1.38,7
Support,220,224,222,1.79,6
